上櫃股票融資融券餘額  日期: 96年04月23日
代號,  名稱,  前資餘額(張),  資買,  資賣,  現償,  資餘額,  資屬證金,  資限額,  資使用率(%), 前券餘額(張),   券賣,  券買,  券償,  券餘額,  券屬證金,  券使用率(%),  資券相抵(張),  備註 
3099,頂倫,"43,337","570","803","178","42,926","4,945","56,577","75.87","220","30","75","0","175","20","0.31","62","       "
3114,好德,"4,902","734","406","0","5,230","672","11,075","47.22","0","10","0","0","10","0","0.09","147","       "
3126,信億,"365","2","1","0","366","36","8,310","4.4","0","0","0","0","0","0","0.0","0","$     C"
3128,昇銳,"5,207","25","70","0","5,162","306","9,150","56.42","1","0","0","0","1","0","0.01","0","       "
3144,新揚科,"14,393","904","1,054","48","14,195","1,622","18,266","77.71","75","2","19","0","58","0","0.32","25","       "
3188,安茂,"7,885","0","46","0","7,839","827","10,347","75.76","0","0","0","0","0","0","0.0","0"," OX    "
3191,和進,"8,217","217","223","0","8,211","983","12,055","68.11","26","0","10","0","16","0","0.13","12","       "
3202,樺晟,"4,411","100","34","1","4,476","959","14,741","30.36","5","0","0","0","5","5","0.03","1","       "
3207,耀勝,"6,574","31","51","0","6,554","1,416","8,443","77.63","0","0","0","0","0","0","0.0","0","       "
3209,全科,"4,634","95","264","57","4,408","463","12,713","34.67","0","0","0","0","0","0","0.0","0","       "
3211,順達,"9,076","180","262","0","8,994","1,139","22,394","40.16","125","2","0","0","127","0","0.57","6","       "
3213,茂訊,"1,125","4","26","0","1,103","175","8,446","13.06","1","0","1","0","0","0","0.0","1","       "
3217,優群,"6,639","173","127","0","6,685","921","11,312","59.1","5","0","0","0","5","5","0.04","0","       "
3218,大學光,"4,438","532","438","0","4,532","147","8,667","52.29","25","3","11","0","17","0","0.2","34","       "
